0	0	0.4	0.2	
1	1	1	0.1	
2	1	0.9	0.8	
3	1	0.5	1	
4	1	0.6	0.8	
10	1	0.5	0.5	
11	0	1	0.7	
21	1	0.8	0.1	
27	0	0.1	0.5	
29	1	0.2	0.1	
35	0	1	0.1	
61	1	0.6	0.8	
69	0	0.8	0	
70	1	0	0.4	
72	0	0.6	0.1	
74	0	0.2	0.7	
75	0	0	0.4	
83	1	0.4	0	
94	0	0.5	0.3	
96	1	0.7	0.5	
99	0	0.7	0.3	
105	0	0.4	1	
108	1	0.5	0.5	
118	1	0	0.8	
120	1	0.2	0.3	
122	0	0.9	0.2	
123	0	0.8	0.1	
134	0	0.4	0.5	
135	1	0.1	0.2	
136	1	1	0.7	
138	0	0.5	0.6	
139	0	1	1	
142	0	0.8	0.8	
147	0	0.2	0.8	
148	0	0.4	0.8	
149	0	0.8	0.3	
152	1	0	0.5	
153	0	0.5	0.4	
154	1	0.2	0	
156	1	0.3	0.8	
158	1	0.3	0.6	
159	1	0	0.6	
172	1	0.3	0.5	
178	0	0.7	0.5	
181	1	0	0.5	
183	0	0.8	1	
187	0	0.6	0.7	
188	0	0.6	0	
189	0	1	0.5	
198	0	0.1	0.6	
200	1	0.6	0.3	
214	1	0.7	0.5	
215	0	0.4	0.7	
216	0	1	0	
217	0	0.4	0.8	
218	0	0	0.1	
221	1	0.5	0.5	
223	0	0.6	0.9	
232	1	0.5	0.8	
236	0	0.6	0.8	
238	1	0.7	0.2	
239	0	0.2	0.8	
247	1	0.1	0.2	
255	1	0	1	
257	0	0.3	1	
258	0	0.9	0.1	
259	1	1	0.1	
260	0	0.3	0.9	
265	0	0.2	0	
268	1	0.4	0.4	
269	0	1	0.1	
270	0	1	0	
271	0	0.8	0.4	
272	0	0.1	0	
273	1	0.6	0.5	
274	0	0.1	0.8	
275	1	0	0.7	
276	1	0.2	0.5	
281	0	0.1	1	
282	1	0.3	0.8	
287	1	0.5	0.3	
288	0	0.4	0.9	
293	0	0.2	0.6	
294	1	1	0.3	
304	0	0.8	0.1	
305	0	0.6	0	
309	0	0.6	0.6	
313	0	0.7	0.5	
315	1	0.2	0.5	
318	0	0.7	1	
319	0	0.5	0.8	
320	1	0.8	0.1	
324	0	0.4	0	
336	0	0.7	0.1	
338	1	0.5	0.7	
339	1	0.5	0.7	
348	1	0.1	0.6	
351	1	0.3	0.8	
352	0	0.5	0.6	
353	1	0.4	0.6	
354	1	0.1	0.5	
355	1	0.3	0.2	
356	1	0.9	0.4	
359	1	0.7	0	
360	0	0.8	0.7	
368	1	0.2	0.4	
381	1	1	1	
382	1	0.4	0.9	
386	0	0.2	0.8	
395	1	0.2	1	
403	1	0.9	0.8	
404	1	0.8	1	
407	0	0.4	0.8	
414	0	0.3	0	
417	1	0.5	0.9	
421	1	0.6	0.1	
424	1	0.6	0.9	
425	0	0.6	0.1	
426	0	0.7	0	
428	1	0.6	0.4	
433	0	0.7	0.3	
437	0	0.2	0	
438	1	0.9	0.3	
439	0	1	0.2	
440	0	0.7	0.5	
442	1	0.9	1	
454	1	0.3	0	
455	1	0.5	0.8	
456	0	0.2	0.5	
460	0	1	0.7	
461	0	0.4	0.9	
468	1	0.1	0.5	
469	0	0.6	0.2	
473	0	0.9	0.8	
474	1	0.7	0.7	
476	0	0.3	0.4	
477	1	0.4	0.5	
481	0	0.1	0.1	
482	1	0.1	0.6	
483	1	0.4	0.6	
484	0	0.6	0.2	
485	1	0	0.9	
486	0	0.9	0.7	
488	0	0.3	0.3	
492	1	0.4	0	
493	1	0.6	0	
496	1	0.8	1	
499	0	0.3	0.2	
506	0	0.6	0.1	
507	1	0.7	0.4	
508	0	0.2	1	
512	1	0.4	0.4	
517	1	0.5	0.1	
518	0	0.3	0.6	
525	0	0.3	0.4	
529	0	0.3	0.2	
537	1	1	0.8	
541	1	0.9	0.5	
543	0	0.5	0.3	
545	0	0.2	0.4	
546	1	0.2	1	
547	0	0	0.6	
548	1	0.1	0.5	
550	1	0.6	0.3	
551	1	1	0.3	
553	1	0.8	0.1	
564	1	0.4	0	
566	0	0.4	0.8	
572	0	0.3	0.9	
573	1	0.1	0.3	
584	0	0.9	0.7	
585	0	0.4	0.2	
599	1	1	0.3	
601	0	0.7	0.2	
605	0	1	0.1	
606	0	0.2	0.5	
611	1	1	0	
618	1	0.6	0.8	
624	1	0.4	0.2	
628	0	0.4	0	
630	1	0.6	0.8	
632	0	0.9	1	
633	1	0.2	0.7	
635	0	0.3	0.4	
636	0	0	0.8	
647	1	0.2	0.8	
652	0	0	0.2	
654	1	0.6	0.1	
661	1	0.9	0.6	
662	0	0.1	0.2	
665	1	0.6	0.5	
666	1	0.6	0.5	
668	1	0.7	0.3	
672	0	0.5	0.9	
676	1	0.5	1	
677	0	0.8	0.6	
678	1	0.2	0.5	
679	1	0.5	0.3	
681	0	0.6	0.6	
682	1	0	0.5	
689	0	0.7	0.6	
697	1	0.7	0.8	
698	0	0	0.2	
700	0	0.1	1	
701	0	0.3	1	
702	0	1	0.9	
708	0	0.6	0.6	
710	0	0.4	0.7	
711	0	0.5	0.1	
713	1	0.9	0.5	
720	0	1	0.5	
728	0	0.3	0.6	
